timestamp,aX,aY,aZ,gX,gY,gZ
6061.176,1,-0.037,0.11,-4.089,16.113,-1.709
6081.584,0.964,-0.026,0.05,3.479,12.695,-2.319
6101.992,0.949,-0.103,0.1,6.714,1.709,-5.615
6122.4,0.941,-0.116,0.098,11.597,2.197,-1.892
6142.808,0.948,-0.1,0.09,10.559,5.737,-1.221
6163.216,0.932,-0.043,0.053,7.996,16.296,1.404
6183.624,0.943,0.03,-0.02,7.507,19.348,2.869
6204.032,0.945,-0.016,-0.05,4.822,7.141,-3.052
6224.44,0.952,-0.045,0.003,1.953,-1.465,-1.953
6244.848,0.963,-0.058,0.008,-0.793,-1.587,-1.465
6265.256,0.967,-0.09,-0.002,-1.404,-0.488,1.404
6285.664,0.995,-0.016,-0.018,0.183,1.282,3.54
6306.072,1,0.009,-0.029,3.113,1.16,0.916
6326.48,0.989,-0.054,0.019,3.235,-2.502,-1.831
6346.888,0.993,-0.034,0.051,6.104,-1.343,-0.671
6367.296,0.991,-0.032,0.021,9.033,0.122,-1.343
6387.704,0.98,-0.08,0.035,7.141,-2.625,-1.282
6408.112,1.016,-0.024,0.083,0.244,-5.371,4.028
6428.52,1.008,-0.038,0.068,-0.122,-1.709,3.174
6448.928,1.017,-0.039,0.089,-4.578,1.099,3.967
6469.336,1.013,-0.02,0.067,-5.92,3.601,4.395
6489.744,1.019,0,0.07,-3.418,4.883,2.686
6510.152,1.001,-0.036,0.066,-2.686,5.371,0.183
6530.56,0.986,-0.035,0.08,-3.357,6.592,-0.244
6550.968,0.96,-0.056,0.034,-0.61,8.179,-0.916
6571.376,0.959,-0.057,0.042,0.793,5.92,-0.732
6591.784,0.933,-0.115,0.001,3.296,5.859,-0.427
6612.192,0.939,-0.102,0.02,1.465,2.869,1.77
6632.6,0.945,-0.068,-0.013,3.662,5.127,5.31
6653.008,1.01,0.047,0.004,2.869,0.671,5.859
6673.416,1.028,0.052,0.019,5.249,2.808,1.038
6693.824,1.013,-0.005,0.021,3.845,2.808,-2.197
6714.232,1.009,-0.016,0.027,4.028,2.441,-2.869
6734.64,1.005,-0.051,0.033,4.456,0.366,-5.554
6755.048,0.99,-0.1,0.022,4.944,-0.488,-5.554
6775.456,0.973,-0.111,0.023,2.563,-2.014,-2.93
6795.864,0.97,-0.118,0.062,1.831,-1.648,-0.732
6816.272,0.983,-0.098,0.064,2.747,1.282,3.906
6836.68,0.987,-0.071,0.054,4.089,3.113,4.822
6857.088,0.983,-0.058,0.005,3.906,6.714,6.531
6877.496,0.993,-0.018,-0.007,1.709,4.395,6.775
6897.904,1.001,-0.016,-0.006,-0.916,4.089,3.296
6918.312,1.007,0.003,0.031,-2.441,-0.488,1.587
6938.72,0.997,-0.039,0.051,0.488,0.977,-1.16
6959.128,0.984,-0.06,0.041,-0.854,3.052,-0.488
6979.536,0.973,-0.08,0.01,-0.916,4.028,-1.099
6999.944,0.975,-0.105,0.038,-2.014,2.93,0.244
7020.352,0.965,-0.084,-0.019,-0.122,5.005,2.625
7040.76,0.985,-0.041,0.004,0.977,1.404,4.028
7061.168,0.988,-0.051,0.01,1.892,-0.183,2.869
7081.576,0.993,-0.055,0.019,0.732,0.977,2.563
7101.984,1.001,-0.031,0.03,0.793,1.587,3.54
7122.392,1.014,-0.002,0.027,0.061,2.563,2.502
7142.8,0.988,-0.035,-0.015,-0.305,6.287,0.366
7163.208,0.988,-0.034,-0.016,-0.061,2.93,0.732
7183.616,0.99,-0.063,0.025,1.526,0.244,-0.488
7204.024,0.973,-0.101,0.007,0.549,1.648,0.366
7224.432,0.984,-0.077,0.013,-0.244,0.488,3.479
7244.84,0.989,-0.041,0.022,1.953,0.854,2.93
7265.248,0.985,-0.036,0.008,2.014,1.77,2.808
