timestamp,aX,aY,aZ,gX,gY,gZ
8408.096,0.203,0.343,1.182,98.022,38.086,124.023
8428.504,0.158,-0.387,1.744,82.764,-112.305,109.985
8448.912,0.044,-0.035,2.081,139.343,-105.835,181.213
8469.32,-0.235,0.041,1.983,129.822,-47.791,205.078
8489.728,-0.253,0.064,2.475,94.299,-65.247,257.568
8510.136,-0.353,1.18,3.178,74.646,-24.292,310.364
8530.544,-0.23,2.504,2.894,134.46,105.408,267.273
8550.952,-0.301,2.369,0.941,24.658,164.429,52.856
8571.36,0.015,0.167,2.199,-21.729,-38.391,-63.049
8591.768,-0.03,0.208,3.057,238.892,104.797,-28.748
8612.176,-0.065,-0.064,1.428,-26.794,62.073,40.222
8632.584,-0.019,0.452,0.113,-33.447,158.081,140.869
8652.992,0.058,0.946,-0.799,-1.709,107.666,200.684
8673.4,0.315,1.62,0.943,-236.084,1.343,47.058
8693.808,0.143,0.293,1.348,-29.053,139.893,-208.374
8714.216,-0.002,-0.237,-0.467,-50.171,302.856,-219.604
8734.624,0.029,-0.688,-1.447,-130.188,8.606,-159.241
8755.032,-0.015,-0.562,-0.823,-192.017,-266.113,2.93
8775.44,0.026,0.984,1.262,-110.474,-387.207,193.542
8795.848,0.005,1.195,1.894,-60.242,-259.644,106.567
8816.256,0.026,0.194,1.314,45.837,-33.997,-34.18
8836.664,-0.069,0.009,0.809,141.357,44.8,18.25
8857.072,-0.01,0.449,1.125,103.577,-20.325,52.185
8877.48,0.085,0.902,2.786,50.171,-39.917,46.143
8897.888,0.1,0.7,2.788,78.247,131.165,-1.77
