aX,aY,aZ,gX,gY,gZ
-1.485,-0.253,0.658,-173.096,-166.748,-476.685
-1.732,-0.796,1.336,-245.789,-254.272,-556.641
-1.938,-0.798,2.147,-160.278,-237.244,-527.100
-1.759,-1.065,2.542,-22.217,-183.289,-479.858
-1.760,-1.524,2.919,125.061,-17.822,-448.303
-1.455,-2.052,1.212,380.005,291.870,-354.736
-1.225,-2.129,0.473,330.750,279.785,-283.936
-0.908,-2.491,0.974,167.236,130.859,-236.328
-1.163,-2.609,1.484,187.439,122.314,-187.805
-1.337,-2.831,1.079,221.863,253.418,-130.066
-1.367,-2.823,0.610,176.453,326.538,-50.232
-1.409,-2.240,-0.289,244.507,373.657,90.271
-1.307,-1.778,-0.663,288.513,347.229,156.006
-1.134,-1.616,-0.713,228.210,247.253,188.110
-1.131,-1.671,-0.571,205.078,203.979,214.111
-1.141,-1.350,-0.325,203.430,171.997,301.453
-1.241,-1.182,-0.427,223.999,174.255,343.689
-1.289,-0.511,-0.697,245.056,159.607,431.030
-1.122,-0.248,-0.770,172.913,128.906,425.354
-1.024,-0.066,-0.989,121.338,60.425,388.550
-0.855,0.154,-1.106,125.183,4.028,379.761
-0.365,0.483,-0.688,93.201,-113.037,325.623
-0.180,0.553,-0.278,68.115,-132.629,264.404
0.117,0.600,-0.452,93.689,-76.843,183.533
0.277,0.462,-0.610,65.552,-85.876,131.836
0.535,0.302,-0.353,64.758,-131.042,101.868
0.697,0.547,-0.122,94.604,-146.301,102.783
0.916,0.752,0.178,73.792,-144.531,67.932
0.938,0.636,0.252,49.255,-99.487,19.592
1.049,0.197,0.083,35.706,-52.856,-31.555
1.062,-0.098,0.091,22.095,-46.875,-29.602
1.052,0.098,0.120,31.311,-27.100,20.203
1.038,0.261,-0.093,37.415,-5.432,19.409
1.021,0.315,-0.158,32.104,-8.850,-6.409
0.962,0.073,-0.206,17.151,-2.441,-28.381
0.979,-0.061,-0.325,12.634,-3.357,-12.146
1.004,0.128,-0.205,12.878,-16.235,2.686
0.995,0.145,-0.217,22.095,-7.019,-9.888
1.030,0.044,-0.250,3.845,-6.531,-14.099
1.031,0.024,-0.157,-1.282,-7.446,-2.625
1.052,0.060,-0.219,0.183,-2.014,-0.671
1.005,-0.001,-0.200,0.000,-2.625,0.122
1.026,0.080,-0.250,0.671,0.366,9.277
1.039,0.242,-0.055,-6.836,-5.859,7.324
1.013,0.113,-0.117,-0.977,8.240,-9.094
0.974,-0.071,-0.258,3.235,11.780,-9.949
0.950,-0.066,-0.260,0.061,6.226,-0.122
0.970,0.050,-0.200,-5.859,-0.244,9.583
0.952,0.105,-0.145,-10.376,5.554,1.587
0.929,-0.007,-0.270,-5.432,7.690,-2.258
0.929,-0.007,-0.242,-9.583,0.916,5.920
0.918,0.046,-0.243,-8.057,4.150,7.202
0.909,0.061,-0.268,-10.986,3.906,7.019
0.917,0.031,-0.276,-12.207,0.549,5.249
0.930,0.043,-0.245,-8.911,-1.770,7.263
0.964,0.133,-0.213,-4.761,-2.441,7.263
0.967,0.103,-0.185,-5.981,-1.709,-0.122
0.985,0.040,-0.223,-0.732,0.061,-0.671
0.978,0.073,-0.160,-5.432,0.916,-0.671
0.979,0.033,-0.208,1.770,5.249,-0.916
