aX,aY,aZ,gX,gY,gZ
0.996,0.013,-0.030,-0.732,4.822,-10.071
0.983,0.003,-0.118,-5.066,4.211,-10.132
0.989,-0.084,-0.010,1.465,-3.845,-7.935
0.992,-0.016,-0.025,9.399,3.418,-2.197
0.992,-0.057,-0.081,5.188,2.686,-6.042
0.978,-0.002,0.004,3.113,-1.160,-1.709
0.986,-0.104,-0.017,-0.488,7.202,-3.845
0.981,0.019,-0.071,8.545,8.972,-0.366
0.966,-0.061,-0.060,2.319,8.423,-6.042
0.955,-0.063,-0.108,8.057,7.751,-3.113
0.948,-0.129,-0.114,-2.014,5.859,-3.967
0.965,-0.129,-0.069,-1.221,0.854,4.944
0.975,-0.058,-0.122,-0.061,4.578,9.277
0.995,-0.013,-0.105,2.258,-1.648,9.766
0.983,0.085,-0.025,5.737,-1.221,7.263
0.999,-0.036,-0.060,2.808,6.165,-0.916
1.003,0.070,-0.083,10.925,4.639,5.737
1.006,0.043,-0.095,5.554,2.930,-1.404
1.002,-0.073,-0.054,-1.465,2.502,-1.770
1.001,0.011,-0.071,1.526,4.700,2.625
0.999,-0.071,-0.080,-5.249,3.906,-1.770
1.000,-0.037,-0.045,1.343,1.404,4.578
0.992,-0.005,-0.080,4.822,6.653,1.770
0.982,-0.004,-0.089,-0.916,4.272,2.747
0.989,0.038,-0.071,-1.831,4.944,1.465
0.975,-0.034,-0.096,-3.784,6.226,-1.648
0.976,-0.028,-0.119,-0.793,5.493,0.305
0.975,0.010,-0.099,0.916,3.174,1.648
0.972,-0.001,-0.117,-0.305,3.479,0.122
0.972,0.009,-0.143,-4.639,5.188,1.709
0.974,0.011,-0.098,-5.920,0.732,1.038
0.973,-0.023,-0.106,-0.793,5.798,-1.831
0.984,0.005,-0.091,0.366,1.648,1.892
0.989,0.011,-0.083,1.282,2.197,-0.366
0.979,-0.047,-0.100,-2.625,2.441,-0.183
0.974,-0.028,-0.108,-2.014,1.221,1.465
0.977,-0.026,-0.093,1.221,-0.488,-0.122
0.982,-0.008,-0.092,-1.343,0.610,1.953
0.979,-0.035,-0.117,-4.822,1.221,-1.343
0.978,0.036,-0.140,2.197,0.427,4.333
0.974,-0.039,-0.131,-1.099,-0.916,-1.709
0.986,0.018,-0.100,5.371,-3.845,0.610
0.981,-0.025,-0.061,-1.343,-2.197,-1.526
0.992,-0.036,-0.097,-2.380,-0.183,0.366
0.989,0.006,-0.053,0.427,0.366,1.282
0.995,-0.033,-0.108,1.465,3.113,-1.221
0.993,-0.002,-0.072,4.822,0.427,0.854
0.994,-0.059,-0.139,1.221,3.967,-1.038
0.995,0.019,-0.030,3.357,-4.089,2.380
0.989,-0.008,-0.070,1.953,2.869,-0.916
0.979,-0.018,-0.117,3.601,1.282,0.000
0.989,-0.035,-0.090,0.488,0.427,-0.427
0.974,-0.014,-0.089,2.502,1.160,2.136
0.980,-0.005,-0.094,0.732,0.061,1.892
0.989,0.027,-0.079,4.028,-0.061,2.319
0.988,-0.021,-0.109,3.601,1.709,-1.099
0.972,-0.032,-0.083,3.601,0.122,-0.732
0.969,-0.041,-0.102,1.404,3.418,1.953
0.974,0.001,-0.134,2.625,3.113,2.808
0.967,-0.065,-0.108,0.549,-0.061,-0.183
0.974,-0.039,-0.109,3.052,-0.183,4.700
0.987,0.039,-0.077,2.380,0.549,3.174
0.981,0.004,-0.096,1.526,3.723,0.122
0.973,-0.027,-0.150,-1.770,3.662,-0.610
0.977,-0.018,-0.065,1.953,-2.747,-0.183
0.982,-0.051,-0.076,1.648,0.854,-0.793

0.027,0.061,2.634,39.185,-173.401,-168.884
-0.150,-0.077,2.645,44.739,-89.600,-204.041
-0.192,-0.759,2.413,-4.272,-11.108,-256.104
-0.060,-0.775,2.289,21.301,35.217,-198.914
-0.058,-0.410,1.891,47.974,75.623,-175.171
-0.230,-0.288,1.798,-1.221,52.979,-224.426
-0.346,-0.787,2.210,-83.435,35.706,-280.945
-0.159,-1.337,2.283,-96.497,100.952,-261.475
-0.059,-0.797,1.517,63.965,179.687,-163.635
-0.116,-0.799,1.287,48.462,179.138,-179.504
-0.449,-1.442,1.820,5.737,158.203,-220.154
-0.607,-2.245,1.896,-52.124,199.463,-242.859
-0.548,-2.316,1.409,-8.179,269.104,-105.225
-0.326,-1.103,0.784,58.899,260.986,-8.118
-0.281,-1.320,0.706,6.653,235.779,-59.937
-0.238,-1.654,0.757,-1.587,221.069,-50.476
